register_id,source_dataset,source_portal,source_url,source_license,processing_timestamp,name,operator_base_name,site_label,operator_slug,operator_site_count_barcelona,operator_scale_barcelona,vehicle_family,vehicle_mode_detail,service_model,micromobility_fit,micromobility_relevance_score,ds4m_use_case_role,publication_recommendation,location_context,urban_centrality_band,distance_to_placa_catalunya_km,city,district_id,district_name,district_service_count,district_micromobility_count,neighborhood_id,neighborhood_name,neighborhood_service_count,neighborhood_micromobility_count,postcode,address_line,full_address,latitude,longitude,utm31n_x,utm31n_y,geo_cell_200m,geo_cell_service_count,geo_cell_micromobility_count,primary_contact_phone,phone_general,phone_information,phone_customer_service,phone_info_reservations,phone_switchboard,fax,has_contact_phone,source_created_at,source_modified_at,source_record_age_days,source_rows_aggregated,source_contact_fields_present
99400202484,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Luxury and Rentals,Luxury and Rentals,,luxury-and-rentals,1,single_site_operator,car,car,rental_or_hire,none,30,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,urban_neighborhood,inner_city,3.012,BARCELONA,5,Sarrià-Sant Gervasi,2,0,26,Sant Gervasi - Galvany,2,0,8021,"Via Augusta, 238","Via Augusta, 238, Sant Gervasi - Galvany, Sarrià-Sant Gervasi, BARCELONA",41.397988,2.137097,427866.45,4583298.22,20698_1068,1,0,932008350,932008350,,,,,,True,2008-03-20 16:20:13+00:00,2008-03-20 16:20:30+00:00,6570,1,1
99400657135,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Empresa Zonetransfers,Empresa Zonetransfers,,empresa-zonetransfers,1,single_site_operator,limousine_chauffeur,limousine,rental_or_hire,none,20,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,urban_neighborhood,,4616.869,BARCELONA,,,2,0,,,2,0,,,BARCELONA,-0.001094,-1.489468,-80.8,-121.32,-1_-745,2,0,665264451,,,665264451,,,,True,2020-09-07 14:29:48+00:00,2020-09-09 09:58:41+00:00,2014,1,1
94133143949,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Las Golondrinas Port Barcelona (Guixetes),Las Golondrinas Port Barcelona (Guixetes),,las-golondrinas-port-barcelona-guixetes,1,single_site_operator,boat_nautical,boat_or_nautical,rental_or_hire,none,20,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,waterfront_or_tourism,central_core,1.322,BARCELONA,1,Ciutat Vella,28,22,1,el Raval,11,7,8001,"Pl Portal de la Pau, 1","Pl Portal de la Pau, 1, el Raval, Ciutat Vella, BARCELONA",41.375982,2.176057,431100.13,4580823.45,20687_1088,1,0,934423106,934423106,,,,,,True,1994-05-12 22:00:00+00:00,2023-01-20 13:10:57.361363+00:00,1151,1,1
99400049338,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Avis *Còrsega,Avis,Còrsega,avis,3,multi_site_operator,car,car,rental_or_hire,none,20,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,central_tourism_business,central_core,1.407,BARCELONA,2,Eixample,25,7,7,la Dreta de l'Eixample,5,1,8008,"C Còrsega, 293","C Còrsega, 293, la Dreta de l'Eixample, Eixample, BARCELONA",41.394655,2.156669,429499.01,4582912.15,20697_1078,1,0,902110275,,902110275,,,,,True,2003-07-05 14:18:36+00:00,2023-10-03 08:15:25.351931+00:00,895,1,1
79000000579,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,"Barcelona Limousine, S.A.","Barcelona Limousine, S.A.",,barcelona-limousine-s-a,1,single_site_operator,limousine_chauffeur,limousine,rental_or_hire,none,20,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,central_tourism_business,central_core,1.517,BARCELONA,2,Eixample,25,7,5,el Fort Pienc,3,2,8013,"Sardenya, 199","Sardenya, 199, el Fort Pienc, Eixample, BARCELONA",41.398742,2.179357,431399.97,4583347.59,20699_1089,1,0,932470699,932470699,,,,,,True,1998-12-20 23:00:00+00:00,2023-02-15 09:37:25.194554+00:00,1125,1,1
79000000563,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Dachs Limousines,Dachs Limousines,,dachs-limousines,1,single_site_operator,limousine_chauffeur,limousine,rental_or_hire,none,20,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,central_tourism_business,central_core,1.908,BARCELONA,2,Eixample,25,7,6,la Sagrada Família,2,0,8013,"València, 455","València, 455, la Sagrada Família, Eixample, BARCELONA",41.403302,2.177225,431226.59,4583855.58,20701_1088,1,0,932654843,932654843,,,,,,True,1998-12-20 23:00:00+00:00,2023-02-15 12:19:33.747119+00:00,1125,1,1
75990377256,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Enterprise *Muntaner,Enterprise,Muntaner,enterprise,2,two_site_operator,car,car,rental_or_hire,none,20,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,central_tourism_business,central_core,0.833,BARCELONA,2,Eixample,25,7,8,l'Antiga Esquerra de l'Eixample,3,0,8011,"Muntaner, 45","Muntaner, 45, l'Antiga Esquerra de l'Eixample, Eixample, BARCELONA",41.385912,2.160225,429786.88,4581938.54,20692_1080,1,0,933230701,933230701,,,,,,True,1996-09-17 22:00:00+00:00,2023-10-03 08:15:47.811317+00:00,895,1,1
75990133079,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Europcar *Viladomat,Europcar,Viladomat,europcar,3,multi_site_operator,car,car,rental_or_hire,none,20,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,central_tourism_business,central_core,1.691,BARCELONA,2,Eixample,25,7,9,la Nova Esquerra de l'Eixample,7,1,8029,"Viladomat, 214","Viladomat, 214, la Nova Esquerra de l'Eixample, Eixample, BARCELONA",41.38563,2.149907,428923.87,4581915.66,20692_1074,2,0,934398403,,934398403,,,,,True,1996-09-17 22:00:00+00:00,2023-10-03 08:17:03.366211+00:00,895,1,1
75990597323,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Europcar *Gran Via,Europcar,Gran Via,europcar,3,multi_site_operator,car,car,rental_or_hire,none,20,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,central_tourism_business,central_core,0.667,BARCELONA,2,Eixample,25,7,7,la Dreta de l'Eixample,5,1,8010,"G.V. Corts Catalanes, 680","G.V. Corts Catalanes, 680, la Dreta de l'Eixample, Eixample, BARCELONA",41.392608,2.172931,430856.28,4582671.74,20696_1086,1,0,933020543,933020543,,,,,,True,1999-06-04 22:00:00+00:00,2023-10-03 08:15:55.274945+00:00,895,1,1
99400166150,Alquiler de vehículos en la ciudad de Barcelona,Open Data BCN,https://opendata-ajuntament.barcelona.cat/data/es/dataset/lloguer-de-vehicles,CC BY 4.0,2026-03-17T10:30:15Z,Avis *Rita bonat,Avis,Rita bonat,avis,3,multi_site_operator,car,car,rental_or_hire,none,20,multimodal_benchmark_context,keep_for_multimodal_context_not_core_dataset,urban_neighborhood,inner_city,2.309,BARCELONA,4,Les Corts,6,0,19,les Corts,6,0,8029,"C Rita Bonnat, 5","C Rita Bonnat, 5, les Corts, Les Corts, BARCELONA",41.389265,2.142587,428315.8,4582325.31,20694_1071,1,0,934102038,934102038,,,,,,True,2006-08-11 12:26:57+00:00,2006-08-11 12:27:03+00:00,7157,1,1
